zone_id,zone_full_name,state_fips,shipment_lane_count,total_tons,total_value_usd,climate_risk_score,climate_risk_tier,risk_intensity_score,risk_intensity_tier,state_storm_event_count,state_storm_damage_usd,ndvi_anomaly,vegetation_stress_tier,latitude,longitude
487,"Laredo, TX   CFS Area ",48,11409,54160.94905399997,183791.1637120004,1.0,High,0.1558,Low,48031,67326637370.0,0.09310000000000002,Above Normal,31.054487,-97.563461
488,"San Antonio-New Braunfels-Pearsall, TX  CFS Area ",48,11848,278427.0407229999,214388.04725800006,1.0,High,0.1558,Low,48031,67326637370.0,0.09310000000000002,Above Normal,31.054487,-97.563461
489,Remainder of Texas,48,21017,863619.0481840005,732549.2521399993,1.0,High,0.1558,Low,48031,67326637370.0,0.09310000000000002,Above Normal,31.054487,-97.563461
491,"Salt Lake City-Provo-Orem, UT  CFS Area ",49,13591,118753.91924699995,228060.76869300014,0.046,Low,0.0054,Low,4253,236989700.0,0.015100000000000002,Normal,40.150032,-111.862434
499,Remainder of Utah,49,7183,141656.009715,82841.87827500002,0.046,Low,0.0054,Low,4253,236989700.0,0.015100000000000002,Normal,40.150032,-111.862434
500,Vermont,50,8535,41618.79033800001,37837.70843000001,0.0351,Low,0.0443,Low,3215,224399500.0,-0.0010999999999999899,Normal,44.045876,-72.710686
511,"Richmond, VA  CFS Area ",51,12114,52433.12096700003,69320.709013,0.2327,Low,0.0118,Low,21898,641023520.0,0.0029000000000000137,Normal,37.769337,-78.169968
512,"Virginia Beach-Norfolk, VA-NC  CFS Area (VA Part)",51,32795,54438.20743599996,101392.11788,0.2327,Low,0.0118,Low,21898,641023520.0,0.0029000000000000137,Normal,37.769337,-78.169968
513,"Washington-Arlington-Alexandria, DC-VA-MD-WV  CFS Area (VA Part)",51,16850,68571.65191600008,69302.083188,0.2327,Low,0.0118,Low,21898,641023520.0,0.0029000000000000137,Normal,37.769337,-78.169968
519,Remainder of Virginia,51,10854,173975.96586000005,158470.83381799998,0.2327,Low,0.0118,Low,21898,641023520.0,0.0029000000000000137,Normal,37.769337,-78.169968
531,"Seattle-Tacoma, WA  CFS Area ",53,27081,164738.37406000012,360710.8852870003,0.0648,Low,0.0459,Low,3870,3306051160.0,0.0023999999999999577,Normal,47.400902,-121.490494
532,"Portland-Vancouver-Salem, OR-WA  CFS Area (WA Part)",53,7610,23186.845923999987,34385.02209700001,0.0648,Low,0.0459,Low,3870,3306051160.0,0.0023999999999999577,Normal,47.400902,-121.490494
539,Remainder of Washington,53,16976,160559.81234000012,143896.2596980001,0.0648,Low,0.0459,Low,3870,3306051160.0,0.0023999999999999577,Normal,47.400902,-121.490494
540,West Virginia,54,6395,279132.6407489999,100680.14810499999,0.1179,Low,0.0206,Low,11131,279219710.0,-0.0028000000000000247,Normal,38.491226,-80.954453
551,"Milwaukee-Racine-Waukesha, WI  CFS Area ",55,14712,71808.63226999993,140162.40597200012,0.14,Low,0.0109,Low,12983,662116720.0,0.007299999999999973,Normal,44.268543,-89.616508
559,Remainder of Wisconsin,55,14746,258000.75869700024,304722.95684800023,0.14,Low,0.0109,Low,12983,662116720.0,0.007299999999999973,Normal,44.268543,-89.616508
560,Wyoming,56,4027,244582.18951400009,54686.76196499998,0.119,Low,0.0107,Low,11376,80386330.0,0.007000000000000006,Normal,42.755966,-107.30249
